カテゴリ,ファイル名,主要機能,詳細説明,技術要素,関連モデル,処理フロー,入出力,ビジネスロジック,エラーハンドリング,パフォーマンス考慮
データ確認・検証ツール,check_balances.py,勘定科目残高確認,勘定科目残高値チェック・残高データの妥当性確認・数値検証・残高計算の正確性確認機能,残高検証 + 数値妥当性,StandardAccountBalance,1.残高データ抽出→2.数値妥当性チェック→3.計算精度検証→4.異常値検出→5.整合性確認→6.精度評価,入力：残高データ・検証基準 / 出力：残高検証結果・精度レポート・異常値リスト,数値精度管理・残高妥当性・計算精度・データ品質・信頼性確保,数値エラー・計算エラー・精度不足・異常値のハンドリング,高速数値検証・効率的な残高チェック・並列計算検証
データ確認・検証ツール,check_bs_data.py,BSデータ確認,貸借対照表データ確認・BS財務諸表データの整合性チェック・資産・負債・純資産データ検証・流動資産関連勘定科目確認機能,貸借対照表検証 + 財務諸表理論,StandardAccountBalance・CSVData,1.BSデータ抽出→2.構造検証→3.バランスチェック→4.科目検証→5.整合性確認→6.品質評価,入力：BSデータ・検証基準 / 出力：BS検証結果・構造レポート・品質評価,貸借対照表理論・財務諸表構造・バランス検証・勘定体系・整合性保証,構造エラー・バランス不一致・科目エラー・整合性エラーのハンドリング,高速BS検証・効率的な構造チェック・並列バランス確認
データ確認・検証ツール,check_cf_account_display.py,CF勘定科目表示確認,キャッシュフロー計算書の勘定科目表示確認・CF表示制御・営業活動・投資活動・財務活動キャッシュフロー表示検証機能,キャッシュフロー表示 + UI制御,StandardAccountBalance,1.CF勘定科目抽出→2.表示形式確認→3.分類検証→4.表示順序チェック→5.UI検証→6.表示品質評価,入力：CF表示データ・表示設定 / 出力：CF表示検証結果・UI改善提案,キャッシュフロー表示・UI設計・表示分類・順序管理・ユーザビリティ,表示エラー・分類エラー・UI不整合・順序エラーのハンドリング,高速表示検証・効率的なUI確認・表示最適化
データ確認・検証ツール,check_cf_accounts.py,CF勘定科目確認,キャッシュフロー計算書科目チェック・CF関連勘定科目の存在確認・キャッシュフロー構成要素検証機能,キャッシュフロー理論 + 科目検証,StandardAccount・StandardAccountBalance,1.CF科目抽出→2.構成要素確認→3.分類検証→4.完整性チェック→5.整合性確認→6.品質評価,入力：CF科目データ・検証基準 / 出力：CF科目検証結果・構成要素レポート,キャッシュフロー理論・科目構成・分類管理・完整性保証・品質管理,科目不足・分類エラー・構成エラー・整合性エラーのハンドリング,高速科目検証・効率的な構成確認・並列品質チェック
データ確認・検証ツール,check_cf_balances.py,CF残高確認,キャッシュフロー計算書残高値確認・CF残高データの妥当性チェック・現金流入流出データ検証機能,キャッシュフロー検証 + 数値妥当性,StandardAccountBalance,1.CF残高データ抽出→2.流入流出検証→3.数値妥当性チェック→4.計算精度確認→5.異常値検出→6.品質評価,入力：CF残高データ・検証基準 / 出力：CF残高検証結果・数値品質レポート,キャッシュフロー計算・数値精度・流入流出管理・計算妥当性・品質保証,数値エラー・計算エラー・流入流出エラー・精度不足のハンドリング,高速CF検証・効率的な数値確認・並列計算チェック
データ確認・検証ツール,check_cf_data.py,CFデータ確認,キャッシュフロー計算書データ全般確認・CF財務諸表データ整合性チェック・キャッシュフロー計算の正確性検証機能,キャッシュフロー理論 + データ整合性,StandardAccountBalance・CSVData,1.CFデータ抽出→2.構造検証→3.計算検証→4.整合性チェック→5.品質評価→6.総合判定,入力：CFデータ・検証基準 / 出力：CF総合検証結果・品質レポート・改善提案,キャッシュフロー理論・計算精度・構造整合性・品質管理・データガバナンス,構造エラー・計算エラー・整合性エラー・品質不足のハンドリング,高速CF検証・効率的な総合確認・並列品質評価
データ確認・検証ツール,check_cf_data_updated.py,CF更新データ確認,キャッシュフロー更新状況確認・CFデータの更新履歴チェック・最新データ反映状況検証機能,データ更新管理 + 履歴追跡,StandardAccountBalance,1.CF更新データ抽出→2.更新履歴確認→3.最新状況検証→4.反映状況チェック→5.更新品質評価→6.履歴レポート,入力：CF更新データ・履歴設定 / 出力：更新状況レポート・履歴分析・品質評価,データ更新管理・履歴追跡・バージョン管理・品質管理・変更追跡,更新エラー・履歴不整合・反映失敗・品質劣化のハンドリング,高速更新確認・効率的な履歴管理・変更追跡最適化
データ確認・検証ツール,check_cf_values.py,CF値確認,キャッシュフロー計算値確認・CF指標値の妥当性チェック・計算結果検証・数値精度確認機能,計算精度 + 数値検証,StandardAccountBalance・AnalysisResult,1.CF計算値抽出→2.妥当性チェック→3.精度検証→4.指標確認→5.異常値検出→6.品質評価,入力：CF計算値・検証基準 / 出力：CF値検証結果・精度レポート・品質評価,計算精度管理・数値妥当性・指標検証・品質保証・信頼性確保,計算エラー・精度不足・異常値・妥当性エラーのハンドリング,高速値検証・効率的な精度確認・並列計算チェック
データ確認・検証ツール,check_correct_code.py,正確なコード確認,勘定科目コード整合性確認・コード体系の正確性チェック・標準コードとの照合・コード統一性検証機能,コード管理 + 整合性チェック,StandardAccount・CSVData,1.コードデータ抽出→2.体系整合性確認→3.標準コード照合→4.統一性検証→5.異常コード検出→6.品質評価,入力：勘定科目コード・標準コード / 出力：コード検証結果・整合性レポート・統一性評価,コード管理・体系統一・標準化・整合性保証・品質管理,コード不一致・体系エラー・統一性エラー・標準化エラーのハンドリング,高速コード照合・効率的な体系確認・並列整合性チェック
データ確認・検証ツール,check_csv_data_category.py,CSVデータカテゴリ確認,CSVデータ分類確認・財務諸表タイプ別データ分類検証・インポートデータのカテゴライズ確認機能,データ分類 + カテゴリ管理,CSVData,1.CSVデータ抽出→2.分類検証→3.カテゴリ確認→4.タイプ別検証→5.分類品質評価→6.カテゴリレポート,入力：CSVデータ・分類基準 / 出力：分類検証結果・カテゴリレポート・品質評価,データ分類・カテゴリ管理・タイプ別管理・分類精度・品質保証,分類エラー・カテゴリ不一致・タイプエラー・品質劣化のハンドリング,高速分類確認・効率的なカテゴリ管理・分類最適化
データ確認・検証ツール,check_data.py,JA・年度データ状態確認,指定JA・年度のデータ存在チェック・レコード数確認・データ品質検証・財務諸表タイプ別データ確認・データ完整性検証機能,データ検証 + 品質管理,CSVData・StandardAccountBalance・JA,1.対象データ特定→2.存在チェック→3.品質検証→4.異常値検出→5.整合性確認→6.品質スコア算出,入力：JAコード・年度・検証設定 / 出力：データ状況レポート・品質スコア・異常値リスト,データ品質管理・完整性保証・異常検知・品質測定・データガバナンス,データアクセスエラー・品質チェックエラー・異常値処理エラーのハンドリング,高速データスキャン・効率的な品質チェック・並列検証
データ確認・検証ツール,check_db.py,データベース確認,データベース状態チェック・DB接続確認・テーブル存在確認・データベース健全性検証・システム全体のDB状況確認機能,データベース管理 + システム監視,全モデル,1.DB接続確認→2.テーブル存在確認→3.構造検証→4.健全性チェック→5.性能確認→6.総合評価,入力：DB接続情報・確認設定 / 出力：DB状況レポート・健全性評価・性能データ,データベース管理・システム監視・健全性保証・性能監視・可用性確認,接続エラー・構造エラー・性能劣化・可用性問題のハンドリング,高速DB確認・効率的な監視・システム最適化
データ確認・検証ツール,check_debt_ratio.py,負債比率確認,負債比率安全性指標確認・負債比率計算の正確性検証・安全性指標の妥当性チェック・リスク評価データ確認機能,安全性分析 + リスク評価,StandardAccountBalance・AnalysisResult,1.負債比率データ抽出→2.計算精度検証→3.安全性評価→4.リスク分析→5.妥当性確認→6.評価レポート,入力：負債比率データ・評価基準 / 出力：負債比率検証結果・安全性評価・リスク分析,安全性分析・リスク評価・財務健全性・比率分析・信頼性保証,計算エラー・評価エラー・リスク分析エラー・妥当性エラーのハンドリング,高速比率計算・効率的な安全性分析・リスク評価最適化
データ確認・検証ツール,check_efficiency_indicators.py,効率性指標確認,効率性指標評価確認・総資産回転率等の効率性指標計算検証・効率性リスクスコア確認・指標値妥当性チェック機能,効率性分析 + 指標検証,AnalysisResult・StandardAccountBalance,1.効率性指標抽出→2.計算検証→3.妥当性確認→4.リスク評価→5.効率性分析→6.評価レポート,入力：効率性指標データ・評価基準 / 出力：効率性検証結果・分析レポート・改善提案,効率性分析・指標計算・妥当性確認・リスク評価・経営効率評価,計算エラー・指標エラー・評価エラー・妥当性不足のハンドリング,高速効率性計算・効率的な指標分析・評価最適化
データ確認・検証ツール,check_indicators_json.py,指標JSON構造確認,財務指標計算結果のJSON構造確認・データ形式検証・APIレスポンス構造チェック・JSONデータの整合性確認機能,JSON構造 + データ形式,AnalysisResult,1.JSONデータ抽出→2.構造検証→3.形式確認→4.整合性チェック→5.API互換性確認→6.品質評価,入力：JSONデータ・構造定義 / 出力：JSON検証結果・構造レポート・互換性評価,JSON構造管理・データ形式統一・API設計・整合性保証・互換性確保,JSONエラー・構造不一致・形式エラー・互換性問題のハンドリング,高速JSON検証・効率的な構造確認・形式最適化
データ確認・検証ツール,check_ja004_efficiency.py,JA004効率性指標確認,特定JA（JA004）の効率性指標確認・個別JA効率性データ検証・特定ケース対応・効率性計算結果確認機能,個別JA分析 + 効率性評価,AnalysisResult・StandardAccountBalance,1.JA004データ抽出→2.効率性指標確認→3.計算検証→4.個別分析→5.問題特定→6.改善提案,入力：JA004識別情報・効率性設定 / 出力：JA004効率性レポート・分析結果・改善提案,個別JA分析・効率性評価・カスタム分析・問題解決・改善支援,効率性エラー・計算失敗・分析エラー・個別問題のハンドリング,効率的な個別分析・最適化された効率性計算・高速評価
データ確認・検証ツール,check_ja_data.py,JAデータ・CSV状態確認,JA登録状況確認・CSV取り込み状況確認・データ連携状態検証・JAマスタとCSVデータの整合性チェック・データベース内のJAデータ状況確認機能,データ連携 + 整合性チェック,JA・CSVData,1.JAマスタ確認→2.CSVデータ確認→3.関連性チェック→4.整合性検証→5.同期状態確認→6.問題特定,入力：JA識別情報・確認設定 / 出力：データ状況・整合性レポート・問題リスト,マスタデータ管理・データ連携・整合性保証・同期管理・データガバナンス,データ不整合・同期エラー・関連性エラー・アクセスエラーのハンドリング,高速データ照合・効率的な整合性チェック・並列確認処理
データ確認・検証ツール,check_liquidity_balances.py,流動性指標残高確認,流動性指標関連残高データ確認・流動資産・流動負債データ検証・流動性分析用データの正確性確認・流動比率計算要素チェック機能,流動性分析 + 残高検証,StandardAccountBalance,1.流動性関連残高抽出→2.流動資産確認→3.流動負債確認→4.比率計算検証→5.データ精度確認→6.流動性評価,入力：流動性残高データ・分析設定 / 出力：流動性検証結果・残高レポート・精度評価,流動性分析・残高管理・比率計算・精度保証・流動性評価,残高エラー・計算エラー・流動性分析エラー・精度不足のハンドリング,高速流動性分析・効率的な残高確認・比率計算最適化
データ確認・検証ツール,check_mappings.py,マッピング状況確認,勘定科目マッピング状況調査・参照マッピング機能問題調査・マッピング精度確認・未マッピング科目特定・マッピング品質管理機能,マッピング品質 + 精度管理,AccountMapping・CSVData・StandardAccount,1.マッピング状況抽出→2.精度確認→3.未マッピング特定→4.品質評価→5.問題分析→6.改善提案,入力：マッピングデータ・品質基準 / 出力：マッピング状況レポート・精度評価・改善提案,マッピング品質管理・精度向上・問題解決・品質保証・継続改善,マッピングエラー・精度不足・品質劣化・未マッピング問題のハンドリング,高速マッピング確認・効率的な品質管理・精度最適化
データ確認・検証ツール,check_net_income.py,当期利益確認,収益性指標計算要素確認・当期純利益・税引前当期利益データ検証・収益性計算に使用される利益科目の値確認・総資産・純資産データ確認機能,収益性計算 + 利益データ,StandardAccountBalance,1.利益科目抽出→2.当期利益確認→3.税引前利益確認→4.計算要素検証→5.収益性データ確認→6.精度評価,入力：利益データ・収益性設定 / 出力：利益確認結果・収益性データレポート・精度評価,収益性分析・利益管理・計算要素確認・精度保証・データ品質,利益データエラー・計算要素不足・精度不足・収益性エラーのハンドリング,高速利益確認・効率的な収益性分析・計算最適化
データ確認・検証ツール,check_parent_child_structure.py,親子関係構造確認,勘定科目階層構造診断・親子関係の整合性確認・勘定科目合計の問題診断・階層構造の正確性検証機能,階層構造管理 + 関係性検証,StandardAccount・AccountFormula,1.階層構造抽出→2.親子関係確認→3.整合性検証→4.合計計算確認→5.構造診断→6.改善提案,入力：階層構造データ・関係性設定 / 出力：構造検証結果・関係性レポート・改善提案,階層構造管理・関係性保証・構造設計・整合性確保・品質管理,構造エラー・関係性エラー・整合性不一致・階層問題のハンドリング,高速構造確認・効率的な関係性検証・階層最適化
データ確認・検証ツール,check_pl.py,PLデータ確認,損益計算書データ確認・PL財務諸表データ整合性チェック・収益・費用データ検証・損益計算の正確性確認機能,損益計算書理論 + データ検証,StandardAccountBalance・CSVData,1.PLデータ抽出→2.損益構造確認→3.収益費用検証→4.計算精度確認→5.整合性チェック→6.品質評価,入力：PLデータ・検証基準 / 出力：PL検証結果・損益レポート・品質評価,損益計算書理論・収益費用管理・計算精度・構造整合性・品質保証,損益エラー・計算エラー・構造不一致・品質不足のハンドリング,高速PL検証・効率的な損益確認・計算最適化
データ確認・検証ツール,check_pl_balances.py,PL残高確認,損益計算書残高値確認・PL残高データの妥当性チェック・収益・費用残高検証・損益データの正確性確認機能,損益残高 + 数値妥当性,StandardAccountBalance,1.PL残高抽出→2.収益残高確認→3.費用残高確認→4.妥当性チェック→5.精度検証→6.品質評価,入力：PL残高データ・妥当性基準 / 出力：PL残高検証結果・妥当性レポート・品質評価,損益残高管理・数値妥当性・精度保証・品質管理・信頼性確保,残高エラー・妥当性エラー・精度不足・品質劣化のハンドリング,高速残高確認・効率的な妥当性チェック・精度最適化
データ確認・検証ツール,check_pl_data.py,PLデータ詳細確認,損益計算書データ全般チェック・PL財務諸表詳細検証・収益性分析用データ確認・当期純利益関連データ検証機能,損益計算書分析 + 詳細検証,StandardAccountBalance・CSVData,1.PL詳細データ抽出→2.全般構造確認→3.詳細検証→4.分析データ確認→5.品質評価→6.総合判定,入力：PL詳細データ・検証基準 / 出力：PL詳細検証結果・総合レポート・品質評価,損益詳細分析・構造検証・データ品質・総合評価・信頼性保証,詳細エラー・構造問題・品質不足・総合評価エラーのハンドリング,高速詳細確認・効率的な総合検証・分析最適化
データ確認・検証ツール,check_pl_mappings.py,PLマッピング確認,損益計算書科目マッピング確認・PL勘定科目のマッピング状況検証・収益・費用科目マッピング精度確認機能,PLマッピング + 精度管理,AccountMapping・StandardAccount,1.PLマッピング抽出→2.科目マッピング確認→3.精度検証→4.収益費用分類確認→5.品質評価→6.改善提案,入力：PLマッピングデータ・精度基準 / 出力：PLマッピング検証結果・精度レポート・改善提案,PLマッピング管理・精度向上・分類精度・品質保証・継続改善,マッピングエラー・精度不足・分類エラー・品質劣化のハンドリング,高速マッピング確認・効率的な精度管理・分類最適化
データ確認・検証ツール,check_pl_mappings_correct.py,PL正確マッピング確認,損益計算書マッピング精度チェック・PL科目マッピングの正確性検証・マッピング品質向上・精度向上確認機能,マッピング精度 + 品質向上,AccountMapping・StandardAccount,1.正確マッピング抽出→2.精度チェック→3.正確性検証→4.品質確認→5.向上度評価→6.改善計画,入力：正確マッピングデータ・品質基準 / 出力：精度検証結果・品質向上レポート・改善計画,マッピング精度管理・品質向上・正確性保証・継続改善・精度最適化,精度エラー・品質劣化・正確性不足・改善失敗のハンドリング,高速精度確認・効率的な品質向上・精度最適化
データ確認・検証ツール,check_pl_net_income.py,PL当期純利益確認,損益計算書当期純利益科目確認・利益科目データ検証・収益性指標計算用利益データ確認・当期純利益関連科目チェック機能,利益科目 + 収益性計算,StandardAccountBalance,1.当期純利益抽出→2.利益科目確認→3.収益性データ確認→4.関連科目チェック→5.計算要素検証→6.精度評価,入力：当期純利益データ・利益設定 / 出力：純利益確認結果・利益科目レポート・精度評価,利益管理・純利益計算・収益性分析・計算精度・データ品質,利益エラー・計算エラー・収益性エラー・精度不足のハンドリング,高速利益確認・効率的な純利益計算・収益性最適化
データ確認・検証ツール,check_pl_parents.py,PL親勘定科目確認,損益計算書階層構造確認・PL親勘定科目コード検証・損益計算書の勘定科目階層関係確認・親子関係整合性チェック機能,PL階層構造 + 親子関係,StandardAccount,1.PL親科目抽出→2.階層構造確認→3.親子関係検証→4.コード整合性確認→5.構造品質評価→6.改善提案,入力：PL親科目データ・階層設定 / 出力：PL階層検証結果・親子関係レポート・構造改善提案,PL階層管理・親子関係保証・構造設計・整合性確保・品質管理,階層エラー・親子関係エラー・構造不整合・整合性問題のハンドリング,高速階層確認・効率的な親子関係検証・構造最適化
データ確認・検証ツール,check_profitability_data.py,収益性指標データ確認,利益関連科目確認・計算要素検証・指標計算テスト・収益性指標計算に使用される重要科目の値確認・税引前当期利益・総資産・純資産データ検証機能,収益性分析 + データ検証,StandardAccountBalance・AnalysisResult,1.収益性科目抽出→2.必須データ確認→3.計算要素検証→4.計算テスト→5.精度確認→6.ベンチマーク比較,入力：収益性関連データ・計算設定 / 出力：検証結果・計算精度・問題点リスト,収益性分析理論・計算精度管理・データ妥当性・品質保証・分析信頼性,計算エラー・データ不足・精度不足・異常値のハンドリング,高速計算検証・効率的なデータ確認・精度最適化
データ確認・検証ツール,check_risk_scores.py,リスクスコア確認,リスク評価値確認・カテゴリ別リスクスコア検証・総合リスク評価確認・リスク分析結果の妥当性チェック・リスクレベル判定確認機能,リスク評価 + スコア検証,AnalysisResult,1.リスクスコア抽出→2.カテゴリ別確認→3.総合評価検証→4.妥当性チェック→5.レベル判定確認→6.リスク分析,入力：リスクスコアデータ・評価基準 / 出力：リスク検証結果・評価レポート・改善提案,リスク評価・スコア管理・総合判定・妥当性確認・リスク分析,リスク評価エラー・スコア不整合・判定エラー・妥当性不足のハンドリング,高速リスク確認・効率的な評価検証・リスク分析最適化
データ確認・検証ツール,check_safety_accounts_ui.py,安全性指標UI確認,安全性指標UI表示検証・画面表示データと実際のデータベース内容比較・安全性指標表示部分で使用される科目コードと値確認機能,UI検証 + 表示データ,StandardAccountBalance・AnalysisResult,1.UI表示データ抽出→2.データベース内容確認→3.表示データ比較→4.科目コード確認→5.値整合性検証→6.UI品質評価,入力：UI表示データ・DB内容 / 出力：UI検証結果・表示品質レポート・整合性評価,UI表示管理・データ整合性・表示品質・ユーザー体験・信頼性確保,表示エラー・データ不整合・UI品質劣化・整合性問題のハンドリング,高速UI確認・効率的な表示検証・UI最適化
データ確認・検証ツール,check_safety_data.py,安全性データ確認,安全性指標データ状態確認・自己資本比率・負債比率等安全性指標データ検証・安全性分析用データの正確性確認機能,安全性分析 + データ状態,StandardAccountBalance・AnalysisResult,1.安全性データ抽出→2.指標データ確認→3.比率計算検証→4.分析データ確認→5.正確性検証→6.品質評価,入力：安全性データ・分析設定 / 出力：安全性検証結果・データ品質レポート・分析評価,安全性分析・指標管理・比率計算・データ品質・分析精度,安全性エラー・指標エラー・比率計算エラー・品質不足のハンドリング,高速安全性確認・効率的な指標検証・分析最適化
データ確認・検証ツール,check_safety_indicator_data.py,安全性指標データ詳細,安全性指標計算要素詳細確認・安全性指標計算に使用される各科目値の詳細検証・計算精度確認機能,安全性計算 + 詳細検証,StandardAccountBalance・AnalysisResult,1.安全性計算要素抽出→2.詳細科目確認→3.計算精度検証→4.要素整合性確認→5.詳細品質評価→6.精度改善提案,入力：安全性計算要素・詳細設定 / 出力：詳細検証結果・計算精度レポート・改善提案,安全性詳細分析・計算精度管理・要素検証・品質保証・精度向上,計算要素エラー・精度不足・詳細エラー・品質劣化のハンドリング,高速詳細確認・効率的な精度検証・計算最適化
データ確認・検証ツール,check_safety_indicators_for_chart.py,レーダーチャート用安全性指標確認,チャート表示データ検証・安全性指標値確認・表示形式チェック・レーダーチャート描画用データの整合性確認・視覚化データ準備機能,データ視覚化 + チャート準備,AnalysisResult・StandardAccountBalance,1.指標データ取得→2.チャート用変換→3.スケール調整→4.データ正規化→5.表示検証→6.描画テスト,入力：安全性指標データ・チャート設定 / 出力：チャート用データ・表示検証結果,データ視覚化・チャート設計・表示最適化・ユーザー体験・情報伝達,データ変換エラー・スケールエラー・表示エラー・描画エラーのハンドリング,高速データ変換・効率的な表示処理・描画最適化
データ確認・検証ツール,check_standard_accounts.py,標準勘定科目確認,標準勘定科目マスタ確認・標準科目データの整合性チェック・勘定科目体系の正確性検証・標準勘定科目の完整性確認機能,標準勘定科目 + 体系管理,StandardAccount,1.標準科目抽出→2.マスタ整合性確認→3.体系正確性検証→4.完整性チェック→5.品質評価→6.改善提案,入力：標準勘定科目データ・体系設定 / 出力：標準科目検証結果・体系品質レポート・改善提案,標準勘定科目管理・体系設計・整合性保証・完整性確保・品質管理,標準科目エラー・体系不整合・完整性不足・品質劣化のハンドリング,高速標準確認・効率的な体系検証・管理最適化
データ確認・検証ツール,check_total_accounts.py,合計勘定科目確認,合計勘定科目データ確認・BS・PL・CF合計科目の存在確認・合計値計算の正確性検証・財務諸表合計項目チェック機能,合計科目 + 計算検証,StandardAccount・AccountFormula,1.合計科目抽出→2.存在確認→3.計算正確性検証→4.財務諸表合計確認→5.品質評価→6.計算改善提案,入力：合計科目データ・計算設定 / 出力：合計科目検証結果・計算品質レポート・改善提案,合計科目管理・計算精度・財務諸表構造・品質保証・計算最適化,合計エラー・計算不正確・構造不整合・品質不足のハンドリング,高速合計確認・効率的な計算検証・構造最適化
